title,date_of_patent,patent_n,description,type,assignees,inventors
Providing notifications to devices based on real-time conditions related to an on-demand service,"October 2, 2018",1009108,"A computing system can manage a notification database that stores notifications for drivers of a transportation service. The computing system can interface with at least one third party resource to receive event data corresponding to a given event. For a given time interval, the system can selectively notify drivers about the given event at a corresponding event location by determining a utilization condition for a sub-region of the event location and selecting, from the set of notifications, a notification for the sub-region of the event location based on the utilization condition. The system can select a set of driver devices to receive the selected notification based at least in part on the current location of each driver device in the selected set of driver devices relative to the event location, and transmit the selected notification to the selected set of driver devices.
                        ",Grant,"UberTechnologies,Inc.","Christine Tao, Navya Rehani, Thomas McConnell"
Secure start system for an autonomous vehicle,"October 2, 2018",1008911,"A secure start system for an autonomous vehicle (AV) can include a compute stack and a communications router. The communications router can include an encrypted router drive and an input interface to receive a boot-loader that includes a basic decryption key to decrypt the encrypted router drive and enable network communications with a backend system. The secure start system can utilizes a tunnel key from the backend system to establish a private communications session with a backend data vault, and retrieve a set of decryption keys from the backend data vault, via the private communications session, to decrypt a plurality of encrypted drives of the AV.
                        ",Grant,"UberTechnologies,Inc.","Christopher Valasek, Charles Miller"
Methods and systems for providing alerts to a driver of a vehicle via condition detection and wireless communications,"October 2, 2018",1008987,"A monitoring system can determine that a vehicle is not being operated by a driver. Based on the vehicle not being operated, the monitoring system can analyze data from one or more sensors of the vehicle to monitor a passenger compartment of the vehicle. Based on the data from the one or more sensors, the monitoring system can detect an anomaly within the passenger compartment of the vehicle. Based, at least in part, on detecting the anomaly, the monitoring system can transmit a signal corresponding to an alert to a computing device of the driver, the alert indicating the anomaly.
                        ",Grant,"UberTechnologies,Inc.","Brennan T. Lopez-Hinojosa, Kermit D. Lopez"
Data restoration for datacenter failover,"September 25, 2018",1008484,"A failover system can receive active data from user devices running an application specific to a service entity providing an application service. For each user device, the active data can indicate a current status. The failover system can transmit restoration data to the user devices for storage to restore the current status of the user devices in the case of a failover event. When a failover event occurs, the failover system can recover the restoration data from a first user device to restore the current status of the application service for the first user device.
                        ",Grant,"UBERTECHNOLOGIES,INC.","Nikunj Aggarwal, Joshua Corbin"
Lost device detection using geospatial location data,"September 25, 2018",1008512,"A network system detects lost client devices based on a comparison of geospatial locations transmitted by user and provider client devices during and after a service. The network system assigns a service status indicating that a service from a start location to a destination location is in progress and monitors the locations of the user and provider client devices during the duration of the service and for a specified period of time after the service ends. In response to determining that the user and provider client devices remain in proximity to each other after the service has ended, the network system notifies the user of the lost device.
                        ",Grant,"UBERTECHNOLOGIES,INC.","Karna Chokshi, Michael O'Herlihy, Zach Singleton"
"System for vehicle routing that combines real-time and likelihood information for traffic, construction and weather","September 25, 2018",1008240,"A system and method for improved routing that combines real-time and likelihood information. In accordance with an embodiment, the system comprises a digital map/map information; a likelihood routing information; a route processor; wherein, when a request is received from a user/driver, or from another system, to receive a routing information, the system receives real-time information from a traffic-monitoring device or service providing real-time information; wherein the route processor adjusts the received real-time information based on the system's likelihood routing information; and wherein the routing information based on the combination of real-time and likelihood information can then be provided to the user/driver or other system in response to the original request.
                        ",Grant,"UberTechnologies,Inc.",Gil Fuchs
Generation of trip estimates using real-time data and historical data,"September 18, 2018",1007833,"A system uses machine models to estimate trip durations or distance. The system trains a historical model to estimate trip duration using characteristics of past trips. The system trains a real-time model to estimate trip duration using characteristics of recently completed trips. The historical and real-time models may use different time windows of training data to predict estimates, and may be trained to predict an adjustment to an initial trip estimate. A selector model is trained to predict whether the historical model, the real-time model, or a combination of the historical and real-time models will more accurately estimate a trip duration, given features associated with a trip duration request, and the system accordingly uses the models to estimate a trip duration. In some embodiments, the real-time model and the selector may be trained using batch machine learning techniques which allow the models to incorporate new trip data as trips complete.
                        ",Grant,"UBERTECHNOLOGIES,INC.","Shijing Yao, Xiao Cai"
Sidepod stereo camera system for an autonomous vehicle,"September 18, 2018",1007700,"A sidepod stereo camera system for an autonomous vehicle (AV) includes a sidepod housing mounted to the AV, a view pane coupled to the sidepod housing, and a stereo camera mounted within the sidepod housing. The stereo camera has a field of view extending outward from the sidepod housing through the view pane. A control system of the sidepod stereo camera system or the AV can conditionally activate and deactivate the sidepod stereo camera system when needed.
                        ",Grant,"UberTechnologies,Inc.","Eric Meyhofer, David Rice"
High precision internet local search,"September 4, 2018",1006802,"High-precision local search is performed on the Internet. A map image-rendering software provider embeds spatial keys into maps, which are then provided to producers of Internet content such as map providers. For example, a homeowner may post a message on a web bulletin board advertising his house for sale, and including a map showing the location of the house. When a search engine's web crawler encounters a page having a spatial key embedded in an image, the spatial key is indexed with the other content on the page. Because the spatial key identifies a small geographic area, indexing the content with the spatial key allows search queries to be limited by area and still provide useful results. Thus, a user of a search engine searching for “house for sale” in a specific area will be directed to web pages that meet the geographic and content search terms.
                        ",Grant,"UBERTECHNOLOGIES,INC.","Richard F. Poppen, Geoffrey R. Hendrey"
Multi-model switching on a collision mitigation system,"September 4, 2018",1006563,"Systems and methods for controlling an autonomous vehicle are provided. In one example embodiment, a computer-implemented method includes receiving data indicative of an operating mode of the vehicle, wherein the vehicle is configured to operate in a plurality of operating modes. The method includes determining one or more response characteristics of the vehicle based at least in part on the operating mode of the vehicle, each response characteristic indicating how the vehicle responds to a potential collision. The method includes controlling the vehicle based at least in part on the one or more response characteristics.
                        ",Grant,"UberTechnologies,Inc.","Matthew Shaw Wood, William M. Leach, Scott C. Poeppel, Nicholas G. Letwin, Noah Zych"
User-based content filtering and ranking to facilitate on-demand services,"September 4, 2018",1006798,"A transport facilitation system can receive content items for display on driver devices associated with an on-demand transportation service. Using stored driver data for a driver, the system can filter the content items into a filtered subset of content items relevant to the driver. The system can receive location data from a driver device indicating a current location of the driver as the driver travels throughout a given region, and determine a degree of relevance for each of the filtered subset of content items based, at least in part, on the current location of the driver. The system can generate a set of ranked content items for display on the driver device based on the determined degree of relevance for each of the filtered subset of content items, and provide the set of ranked content items for display on the driver device.
                        ",Grant,"UberTechnologies,Inc.","Maya Paritosh Choksi, Molly Nix"
Routing device that modifies route guidance based on user input,"September 4, 2018",1006695,"A vehicle routing device that determines a route from an origin to a destination including route guidance. The route guidance is modified based on user input. The modification can supply increased or reduced route guidance at intervals along the route. Route guidance may be modified to incorporate landmarks and personal contacts.
                        ",Grant,"UberTechnologies,Inc.","Esther Abramovich Ettinger, Gil Emanuel Fuchs"
Autonomous vehicle with independent auxiliary control units,"August 28, 2018",1006131,"An autonomous vehicle which includes multiple independent control systems that provide redundancy as to specific and critical safety situations which may be encountered when the autonomous vehicle is in operation.
                        ",Grant,"UberTechnologies,Inc.","Nicholas Letwin, Sean Kelly"
Method for maintaining active control of an autonomous vehicle,"August 21, 2018",1005311,"A method for operating an autonomous vehicle can involve monitoring a throttle position of a throttle pedal on the semi-autonomous vehicle. Once the throttle pedal is found to no longer be depressed, the vehicle can be returned to human control.
                        ",Grant,"UberTechnologies,Inc.","Anthony Levandowski, Don Burnette"
Bluetooth device and data scheduler,"August 21, 2018",1005791,"A method and device for wireless data transmission are described. A device receives sets of sensor data associated with respective sensor measurements for a vehicle. The device determines a priority for each of the sets of sensor data based on an amount of data stored for that sensor measurement in a number of data queues, and selectively stores each of the sets of sensor data in one of the data queues based on a threshold data throughput rate of a wireless network and the priority of each set of sensor data. The device transmits, to a second computing device via the wireless network, at least some of the sets of sensor data from the data queues based on a current data throughput rate of the wireless network and a priority level of each of the data queues.
                        ",Grant,"UberTechnologies,Inc.",Joshua Sakwa
Backend communications system for a fleet of autonomous vehicles,"August 14, 2018",1005076,"A backend communications system can manage communications, using transmission control protocol (TCP), between a fleet of AVs in a given region and a backend system that manages transportation for the fleet of AVs. For each of the fleet of AVs, the backend communications system can select a designated one of a plurality of communication channels to transmit and receive transmission acknowledgments (ACKs). The backend communications system can transmit data packets to the fleet of AVs using any number of communication channels and receive ACKs from each of the fleet of AVs over the designated communication channel.
                        ",Grant,"UberTechnologies,Inc.","William Ross, Michael Aitken"
Intelligent lens masking system for an autonomous vehicle,"August 14, 2018",1004869,"An intelligent lens masking system for a camera array of an autonomous vehicle (AV) can include an array interface to receive real-time data from the camera array as the AV travels along a given route, where each camera of the camera array may include a masking layer on its lens. The intelligent lens masking system can dynamically identify, in the real-time data, a number of light sources in the field of view for each respective camera in the camera array. Once the light source(s) for the respective camera is detected, the intelligent lens masking system can dynamically block the lights source(s) for the respective camera by activating a number of pixels of the masking layer.
                        ",Grant,"UberTechnologies,Inc.","Eric Meyhofer, David Rice"
Virtual reality experience for a vehicle,"August 7, 2018",1004331,"A virtual reality system provides autonomous vehicle (AV) sensor data to applications such as games and augmented reality overlays to enhance experiences for riders in the autonomous vehicle. Virtual reality headsets offer users unique and interesting experiences, but when used in a changing environment such as a moving vehicle, external stimuli can impair the virtual reality experience. AV sensors can predict these stimuli so that applications can take measures to reduce their impacts on virtual reality experiences. In addition, sensors can include cameras that send live video feeds to virtual reality devices to render improved views of the environment around the AV and of landmarks in a city. Furthermore, virtual reality devices can take advantage of the AV's computing resources in order to offer better performance and more features to applications.
                        ",Grant,"UberTechnologies,Inc.","Richard Donnelly, David McAllister Bradley"
Selecting vehicle type for providing transport,"July 31, 2018",1003755,"A transport arrangement system operates to receive a transport request from a user, and to make a selection of a vehicle type for the user based at least in part on a set of criteria associated with the transport request or user information. For example, the determination of whether an autonomous vehicle is to be provided can be based at least in part on the destination specified with the transport request.
                        ",Grant,"UberTechnologies,Inc.","William Ross, John Bares, David LaRose, Matthew Sweeney"
Safe routing for navigation systems,"July 31, 2018",1003664,"Examples provided herein describe a navigation system to identify routes that take safety considerations into account. The system accesses safety data from various sources and computes safety data for individual road segments of a map database at multiple times for each road segment. The road segment safety data is used when determining routes for requested trips, including estimating the times that the various road segments on the route will be traversed and determining the safety of each road segment at that time.
                        ",Grant,"UberTechnologies,Inc.","Karna Chokshi, Meron Alon, Sangick Jeon"
System event analyzer and outlier visualization,"July 31, 2018",1003861,"An event analysis system receives events in a time-series from a set of monitored systems and identifies a set of alert threshold values for each of the types of events to identify outliers in the time-series at an evaluated time. Portions of historic event data is selected to identify windows of event data near the evaluated time at a set of seasonally-adjusted times to predict the value of the event type. The alert threshold value may also account for a prediction based on recent, higher-frequency events. Using the alert threshold values for a plurality of event types, the event data is compared with the alert threshold values to determine an alert level for the data. The event data types are also clustered and displayed with the alert levels to provide a visualization of the event data and identify outliers when the new event data is received.
                        ",Grant,"UBERTECHNOLOGIES,INC.","Franziska Bell, David Purdy, Laszlo Korsos, Shan He"
Automated vehicle communications system,"July 31, 2018",1003664,"An automated vehicle (AV) can be managed by a backend system and include an acceleration, braking, and steering system, an AV control system to maneuver the AV through road traffic throughout a given region, a memory to store a network resource map indicating locations of base stations and available network types providing coverage from the base stations throughout the given region, a communications array to transmit and receive communications from the backend system, and a communications system. The communications system can utilize the network resource map to dynamically select optimal network types from proximate base stations to communicate data with the backend system, and dynamically configure the communications array to connect with the optimal network types to transmit and receive data with the backend system.
                        ",Grant,"UberTechnologies,Inc.","William Ross, Michael Aitken"
Systems and methods to track vehicles proximate perceived by an autonomous vehicle,"July 31, 2018",1003761,"The present disclosure provides systems and methods for tracking vehicles or other objects that are perceived by an autonomous vehicle. A vehicle filter can employ a motion model that models the location of the tracked vehicle using a vehicle bounding shape and an observation model that generates an observation bounding shape from sensor observations. A dominant vertex or side from each respective bounding shape can be identified and used to update or otherwise correct one or more predicted shape locations associated with the vehicle bounding shape based on a shape location associated with the observation bounding shape.
                        ",Grant,"UberTechnologies,Inc.","Brian C. Becker, J. Andrew Bagnell, Arunprasad Venkatraman, Karthik Lakshmanan"
Coordinating travel on a public transit system and a travel coordination system,"July 31, 2018",1003664,"A travel coordination system determines a route for a rider using a public transit system and a provider. The travel coordination system may determine a route that describes a public transit stop at which the rider exits the public transit system, and the travel coordination system can route a provider so that the provider transports the rider when the rider arrives at the public transit stop. The travel coordination system may update the rider's route after transmitting the route to the rider. The travel coordination system may determine a public transit vehicle on which the rider is traveling or predict the rider's destination. If multiple riders are traveling on the public transit vehicle and if those riders exit the public transit station using the same public transit stop, the travel coordination system may match those riders together for transport by a provider.
                        ",Grant,"UBERTECHNOLOGIES,INC.","Daniel Iland, Andrew Irish, Srinivasan Rajagopal"
Mobile search based on predicted location,"July 24, 2018",1003098,"A method includes receiving one or more search terms at a mobile computing device while the mobile computing device is located at a particular location. A search query that includes the one or more search terms and a location history of the mobile computing device is transmitted to a server. The method also includes receiving one or more search results in response to the search query, where the one or more search results include content identified based on a predicted destination of the mobile computing device. An interface identifying the one or more search results is displayed at the mobile computing device.
                        ",Grant,"UberTechnologies,Inc.","Alice Jane Bernheim Brush, John Charles Krumm, Shahriyar Amini, Amy Karlson, Jaime Teevan, Nissanka Arachchige Bodhi Priyantha"
Determining a topological location of a client device using received radio signatures,"July 24, 2018",1003218,"A network system, such as a transport management system, efficiently allocates resources by monitoring the geospatial and topological locations of a rider responsive to receiving a trip request. A trip management module matches a rider with an available driver based in part on an comparison of the estimated times of arrival of the rider and the driver at the pickup location. A client positioning module monitors the rider's progress through nodes and edges in a topological graph associated with the origin location based on radio signatures received at the rider client device. A client ETA module calculates a rider ETA based on the rider's rate of travel through the origin location represented by nodes in the topological graph. Responsive to determining that the rider ETA and the driver ETA vary by over a threshold amount of time, the trip management module matches the rider with a second available driver.
                        ",Grant,"UberTechnologies,Inc.","Upamanyu Madhow, Daniel Iland, Dinesh Ramasamy"
Identifying a map matched trip from received geographic position information,"July 17, 2018",1002467,"A map server receives geographic points from a location tracking device located in a vehicle. The received geographic points describe a path that is representative of a pathway of the vehicle used to complete a trip from a starting location to a destination location. The map server identifies candidate geographic points for each received geographic point where each candidate geographic point is associated with a location on a known roadway. The map server determines a graph of the candidate geographic points and identifies different sub-graphs from the graph. The map server iteratively evaluates the sub-graphs to determine a shortest path from the starting location to the destination location without evaluating all the edges in the sub-graphs.
                        ",Grant,"UBERTECHNOLOGIES,INC.","Xingwen Zhang, Thi Duong Nguyen, Miao Yu"
Vehicle servicing system,"July 17, 2018",1002531,"Systems and methods for addressing a user-reported vehicle condition are provided. In one example embodiment, a method includes receiving a service request for a vehicle service for a user. The service request is indicative of a location associated with the user. The method includes sending first control signal(s) to an autonomous vehicle that is configured to provide the vehicle service. The first control signal(s) indicate that the autonomous vehicle is to travel to the location associated with the user. The method includes receiving a communication indicative of an existence of a condition that reduces a suitability of the autonomous vehicle to provide the vehicle service. The condition is identified by the user. The method includes determining action(s) to be performed by the autonomous vehicle based, at least in part, on the existence of the condition. The method includes sending second control signal(s) to the autonomous vehicle to perform the action(s).
                        ",Grant,"UBERTECHNOLOGIES,INC.","Scott Poeppel, Nicholas G. Letwin, Sean J. Kelly"
User-specific landmarks for navigation systems,"July 17, 2018",1002468,"A server identifies landmarks associated with users as the users take part in trips or otherwise interact with a navigation system. The server causes presentation of the identified landmarks to the users during future trips, such as part of navigational directions along a route to a particular destination, or on a visible portion of a map user interface. Presentation of the user-specific landmarks allows the users with more context and thus the ability to better navigate.
                        ",Grant,"UBERTECHNOLOGIES,INC.","Christopher Moore, Vincent Dumont, Mathieu Courtemanche, Cady Wachsman, John Christopher O'Hare"
Non-interrupted handoff of real-time network-distributed services,"July 10, 2018",1002160,"A real-time service is distributed across multiple hosts, with different instances of the service running on the different hosts. Instances of a current (non-updated) version of a service run concurrently with instances of an updated version of the same service for some period of time. In order to smoothly handoff the handling of client requests so as to handle all packets, the different instances of the service evaluate one or more criteria that include a listed data timestamp of packets embodying the client requests. Use of objective criteria such as the listed data timestamp allow the different service instances to evaluate the criteria in a way that is consistent with the evaluations of the other instances, despite computer network-induced variability such as imperfect clock synchronization among hosts and variance in request delivery time.
                        ",Grant,"UBERTECHNOLOGIES,INC.","Xiaoman Dong, Shuyi Chen, Sudhir Tonse"
System and method to determine traction of discrete locations of a road segment,"July 10, 2018",1001847,"A computer system operates to determine a traction value for each of a plurality of regions of the road network. A region of the road network for which the traction value is unknown is identified. A vehicle is directed to operate over the region of the road network to obtain additional data that is indicative of a current traction value.
                        ",Grant,"UberTechnologies,Inc.","Peter Rander, David McAllister Bradley, Matthew Wood"
Autonomous vehicles featuring machine-learned yield model,"July 10, 2018",1001901,"The present disclosure provides autonomous vehicle systems and methods that include or otherwise leverage a machine-learned yield model. In particular, the machine-learned yield model can be trained or otherwise configured to receive and process feature data descriptive of objects perceived by the autonomous vehicle and/or the surrounding environment and, in response to receipt of the feature data, provide yield decisions for the autonomous vehicle relative to the objects. For example, a yield decision for a first object can describe a yield behavior for the autonomous vehicle relative to the first object (e.g., yield to the first object or do not yield to the first object). Example objects include traffic signals, additional vehicles, or other objects. The motion of the autonomous vehicle can be controlled in accordance with the yield decisions provided by the machine-learned yield model.
                        ",Grant,"UberTechnologies,Inc.","Colin Jeffrey Green, Wei Liu, David McAllister Bradley, Vijay Subramanian"
Optimizing communication for autonomous vehicles,"July 10, 2018",1002161,"A system for managing network connections for AVs can store a spectrum heat map that indicates network coverage strength for networks throughout a given region. The system can identify a travel route for a selected AV. Using the spectrum heat map, the system can determine a connection schedule for the selected AV. The connection schedule can indicate location points along the travel route at which the selected AV is to switch from previous network connections to succeeding network connections. The system may then transmit the connection schedule to the selected AV to enable the selected AV to switch network connections at the location points along the travel route.
                        ",Grant,"UberTechnologies,Inc.","William Ross, Michael Aitken"
Navigation lane guidance,"July 3, 2018",1001251,"A navigation system provides lane guidance for a navigation route. The navigation route specifies actions for a user to navigate a route from an originating point to a destination along a set of road segments. The lane guidance at a position along the navigation route scores the lanes and provides the lane scoring for the user. To score the lanes, the navigation system determines a lane distance for each lane indicating how far along the navigation route a user may continue to use this lane, without shifting to another lane. The lane distance may be measured up to a look-ahead distance. The lane distance includes distance along subsequent road segments of the route, such that when a lane turns onto a lane on another road segment according to the navigation route, the distance along the other road may be included in the lane distance.
                        ",Grant,"UBERTECHNOLOGIES,INC.",Seth Alan Woolley
Optimizing timing for configuring an autonomous vehicle,"July 3, 2018",1001299,"An autonomous vehicle (AV) can receive a pick-up location from a backend transport facilitation system to service a pick-up request from a requesting user. The AV can further process sensor data from a sensor array of the AV to dynamically identify potential hazards while autonomously operating the AV along a current route to the pick-up location. The AV can receiving, from the backend transport facilitation system, a set of configuration instructions to configure adjustable components of an interior of the AV based on comfort preferences of the requesting user, and determine an optimal timing schedule to implement each of the set of configuration instructions. Thus, the AV can execute the set of configuration instructions based on the optimal timing schedule to configure the adjustable components of the configurable interior system prior to arriving at the pick-up location.
                        ",Grant,"UberTechnologies,Inc.",Peter Rander
Methods to mitigate communication delays between systems in connection with a transport service,"June 26, 2018",1000930,"A system operating on a computing device can determine a set of location data points of the computing device during progress of a transport service, and can transmit the set of location data points to a network service. The system can transmit, to the network service, a message indicating that the transport service has been completed. The system determines whether a predetermined duration of time has elapsed since transmitting the message indicating that the transport service has been completed, during which a predefined message has not been received by the application from the network service. The predefined message is associated with a confirmation that the transport service has been processed by the network service. If the predetermined duration of time has elapsed during which the predefined message has not been received, the system displays first content as opposed to second content on the computing device.
                        ",Grant,"UberTechnologies,Inc.","Sunil Kumar Garg, Abhay Vardhan"
Collision-avoidance system for autonomous-capable vehicle,"June 26, 2018",1000726,"A collision-avoidance system for use with an autonomous-capable vehicle can continuously receive image frames captured of the roadway to determine drivable space in a forward direction of the vehicle. The system can determine, for each image frame, whether individual regions of the image frame depict drivable space. The system can do so using machine-learned image recognition algorithms such as convolutional neural networks generated using extensive training data. Using such techniques, the system can label regions of the image frames as corresponding to drivable space or non-drivable space. By analyzing the labeled image frames, the system can determine whether the vehicle is likely to impact a region of non-drivable space. And, in response to such a determination, the system can generate control signals that override other control systems or human operator input to control the brakes, the steering, or other sub-systems of the vehicle to avoid the collision.
                        ",Grant,"UberTechnologies,Inc.",Andrew Gray
Geographical location search using multiple data sources,"June 19, 2018",1000214,"A service arrangement system coordinates service providers who provide geographical location-based services to users. The location-based services may include transportation of users. For example, a service provider operates a vehicle to transport a user from an origin location to a destination location. To provide an engaging user experience and encourage users to continue using the services, the service arrangement system accurately and expediently determines the origin location and the destination location based on querying available data sources. The service arrangement system can use selection rules for multiplexing, fallback logic, or load-balancing to select a high quality data source from the available data sources.
                        ",Grant,"UBERTECHNOLOGIES,INC.","Srihari Reddy, Brent Hamby, Aditya Sarawgi, Govind Kabra, Manik Gupta, Jennie Nguyen"
Event management system,"June 12, 2018",999840,"Event management operations are enabled. The operations can include receiving a request to manage an event on behalf of an event sponsor identity associated with an event sponsor, the request including event information including a description of the event, invitee identities associated with invitees to the event and invitee contact information associated with the invitees, generating an event invitation message including the description of the event and an instruction for responding to the event invitation message, directing the event invitation message to be sent to the invitee contact information associated with the invitees, determining that responses to the event invitation message have been received from a set of the invitees, generating an event update message based on a sorting of the responses from the set of the invitees, and directing the event update message to be sent to sponsor contact information associated with the event sponsor.
                        ",Grant,"UberTechnologies,Inc.","Dale W Malik, Landon Robinson, Ledley Yaussy"
Device connector assembly,"June 12, 2018",999912,"A device is described having a body and a connector assembly. The connector assembly is positioned at one end of the body and includes a set of contacts and a cover having a façade. The cover also has a set of openings to enable at least a portion of the set of contacts to be exposed on the façade. The cover is at least partially moveable inwards towards the set of contacts when force is applied to the façade.
                        ",Grant,"UberTechnologies,Inc.","Tyler Jon Back, Irving M. D. Hu, Adrian Timothy Fox, James Matthew Collins"
Utilizing accelerometer data to configure an autonomous vehicle for a user,"June 5, 2018",998964,"A system can analyze accelerometer data and location data from a mobile computing device to determine a set of user attributes for a user of the mobile computing device. In certain implementations, the set of user attributes can be utilized by a backend transport facilitation system to configure an autonomous vehicle's seat for the user prior to being picked up for transport.
                        ",Grant,"UberTechnologies,Inc.",Richard Donnelly
Traffic signal analysis system,"June 5, 2018",999054,"A traffic signal analysis system can receive image data from one or more cameras of an autonomous vehicle, where the image data includes a traffic signaling system located at an intersection. The traffic signal analysis system can determine a pass-through action for the autonomous vehicle through the intersection, and access a matching signal map that includes characteristic information indicating properties of the traffic signaling system. Based on the characteristic information and the image data, the traffic signal analysis system can identify a state of the traffic signaling system for the pass-through action, and generate an output for the autonomous vehicle indicating the state of the traffic signaling system for the pass-through action.
                        ",Grant,"UberTechnologies,Inc.","Carl Wellington, Colin Green, Adam Milstein"
Map-like summary visualization of street-level distance data and panorama data,"May 29, 2018",998449,"Architecture that summarizes a large amount (e.g., thousands of miles) of street-level image/video data of different perspectives and types (e.g., continuous scan-type data and panorama-type data) into a single view that resembles aerial imagery. Polygons surfaces are generated from the scan patterns and the image data is projected onto the surfaces, and then rendered into the desired orthographic projection. The street-level data is processed using a distributed computing approach across cluster nodes. The collection is processed into image tiles on the separate cluster nodes representing an orthographic map projection that can be viewed at various levels of detail. Map features such as lower-level roads, that are at lower elevations than higher-level roads, and are hidden by higher-level overpassing roads, can be navigated in the map. With the summarized data, the maps can be navigated and zoomed efficiently.
                        ",Grant,"UBERTECHNOLOGIES,INC.","Timo Pylvaenaeinen, Thommen Korah, Jerome Berclaz, Myra Nam"
Intention signaling for an autonomous vehicle,"May 15, 2018",996932,"An intention signaling system for an autonomous vehicle (AV) can monitor sensor information indicating a situational environment of the AV, and detect an external entity based, at least in part, on the sensor data. The intention signaling system can generate an output to signal one of an intent of the AV or an acquiescence of the AV to the external entity.
                        ",Grant,"UberTechnologies,Inc.","William Payne Ross, Chenggang Liu"
Lidar scanner calibration,"May 15, 2018",997102,"A LiDAR sensor can include a laser configured to output electromagnetic pulses and an optical splitter positioned to split each of the electromagnetic pulses into (i) at least one calibration pulse, and (ii) at least one external pulse directed toward an object external from the LiDAR sensor. The LiDAR sensor can further include a photodetector configured to detect the at least one calibration pulse and a reflected pulse based on the at least one external pulse reflecting from the object. The LiDAR sensor can further include a processor configured to adjust a bias voltage of the photodetector based on the at least one calibration pulse.
                        ",Grant,"UberTechnologies,Inc.","Brent S. Schwarz, James A. Haslim, Nicholas M. Iturraran, Michael D. Karasoff"
Adaptive vehicle motion control system,"May 8, 2018",996495,"Systems and methods for controlling the motion of an autonomous are provided. In one example embodiment, a computer implemented method includes obtaining, by one or more computing devices on-board an autonomous vehicle, data associated with one or more objects that are proximate to the autonomous vehicle. The data includes a predicted path of each respective object. The method includes identifying at least one object as an object of interest based at least in part on the data associated with the object of interest. The method includes generating cost data associated with the object of interest. The method includes determining a motion plan for the autonomous vehicle based at least in part on the cost data associated with the object of interest. The method includes providing data indicative of the motion plan to one or more vehicle control systems to implement the motion plan for the autonomous vehicle.
                        ",Grant,"UberTechnologies,Inc.","Albert Costa, Michael L. Phillips, Michael Bode"
Method and apparatus for managing communications,"May 8, 2018",996738,"A system that incorporates teachings of the present disclosure may include, for example, a communication device having a controller to detect a selection of an image from a graphical user interface, identify an entry in a contact book responsive to the detected selection of the image, and retrieve one or more communication identifiers associated with the party from the entry of the contact book for initiating a communication session. Other embodiments are disclosed.
                        ",Grant,"UberTechnologies,Inc.","Anup D Karnalkar, R. Tyler Wallis, William Stanley Robbins, Susan Steele, Larry B. Pearson"
User controlled media for use with on-demand transport services,"May 8, 2018",996578,"A method for providing media for use with on-demand transport services is provided. A transport service is arranged for a user. The user is determined to have requested control over media to be outputted on an output device of the driver. A token of the user is identified and transmitted to the driver's computing device. In response to detecting that an event has occurred for enabling the user to control the media, the driver's computing device is enabled to output the media that is controlled by the user operating the user's computing device.
                        ",Grant,"UberTechnologies,Inc.","Rahul Bijor, Conrad Michael Whelan, Paul-Phillip Holden, Kyle James Kirwan"
Detecting objects within a vehicle in connection with a service,"May 8, 2018",996392,"A system for monitoring a vehicle used in providing a service is disclosed. The system detects when the service is complete, and upon detecting that the service is complete, the system determines, from one or more sensors of the vehicle, that an object which should have been removed from the vehicle after completion of the transport service, remains in the vehicle. The system then automatically initiates performance of a remedial action.
                        ",Grant,"UberTechnologies,Inc.","David McAllister Bradley, Jean-Sebastien Valois"
Apparatus and method for retrieval of documents,"May 8, 2018",996555,"A system for support and management of search for documents is presented. The system includes a knowledge-database, query interface and communication to a database of documents to be searched. Information generated during a search session is collected by the system and is added to the knowledge-database. The information is ranked automatically according to the usage of that information by the user. During successive search session or during a search made by another user, the system uses the knowledge-database to support the users with keywords, queries and reference documents.
                        ",Grant,"UberTechnologies,Inc.",Haim Zvi Melman
Providing notifications to devices based on real-time conditions related to an on-demand service,"May 1, 2018",996098,"A system and method for providing notifications is described. The system accesses a notification database that stores a plurality of notification entries. Each notification entry includes notification text, location information, and condition information. For each of a plurality of devices, information is received that includes a current location of that device and a current status associated with that device. At least one device is determined to meet the condition information of a notification entry based on the received information. A notification corresponding to the notification entry is transmitted to the at least one device.
                        ",Grant,"UberTechnologies,Inc.","Christine Tao, Navya Rehani, Thomas McConnell"
System and method for operating a service to arrange transport amongst parties through use of mobile devices,"May 1, 2018",995951,"A system and method are described for enabling transportation to be arranged for individuals carrying handsets or mobile devices. In some embodiments, a customer can transmit a request for transport from a given customer geographic location. A service may handle the request by selecting a driver for the customer.
                        ",Grant,"UberTechnologies,Inc.","Garrett Camp, Oscar Salazar, Travis Kalanick"
Controlling autonomous vehicles in connection with transport services,"April 24, 2018",995328,"Systems for controlling autonomous vehicles are disclosed. Using one or more location detection resources, the system can receive vehicle data from an autonomous vehicle as the autonomous vehicle progresses towards a pickup location of a requesting user and receive requester data from a mobile computing device of the requester. The system can determine when the autonomous vehicle and the requester are at or within a threshold distance of the pickup location. Subsequently, the system can instruct the autonomous vehicle to perform one or more non-driving operations to facilitate use of the autonomous vehicle by the requester.
                        ",Grant,"UberTechnologies,Inc.","Matthew Sweeney, Emily Bartel, Jean-Sebastien Valois"
